Pt,Rate_wRIS_n1,Rate_wRIS_n2,Rate_wRIS_f,Rate_woRIS_n1,Rate_woRIS_n2,Rate_woRIS_f
-45.0,0.009556965245012154,0.03979441889208609,7.694843854806943e-07,0.00796413789037573,0.009227148345516707,1.3132517615465979e-08
-44.177215189873415,0.011526098007325902,0.04763330331352329,9.299898399083393e-07,0.00960508190298093,0.011102005990565265,1.5871810565661318e-08
-43.35443037974684,0.013895006994287487,0.05691467163442739,1.1239748094565763e-06,0.011579172780980324,0.013346287864994692,1.9182488671119927e-08
-42.53164556962025,0.01674221601375968,0.06786390356368803,1.358422697908065e-06,0.013951847034373834,0.016027978182465114,2.3183736330945443e-08
-41.70886075949367,0.020160521153005203,0.08072675084695986,1.6417735486877934e-06,0.016800434740500164,0.019225657610509768,2.8019598442307687e-08
-40.88607594936709,0.024259092160723902,0.09576586317291572,1.9842278746858156e-06,0.020215910696164394,0.023029432409552082,3.386416600536478e-08
-40.063291139240505,0.029165673432740364,0.11325521534712166,2.398113859586709e-06,0.024304728572963705,0.027541676671195482,4.092784340092809e-08
-39.24050632911393,0.03502879099031512,0.13347216758675223,2.898331147452019e-06,0.029190660066670444,0.03287747609138962,4.9464922945879596e-08
-38.41772151898734,0.04201982421004179,0.1566870577511702,3.5028871933231066e-06,0.03501652133986297,0.039164644404815874,5.97827393915561e-08
-37.59493670886076,0.050334743103294645,0.1831504701855974,4.233545478177144e-06,0.041945620756163475,0.046543173657246674,7.225273396596315e-08
-36.77215189873418,0.06019524610099368,0.21307863654303688,5.116608916213104e-06,0.05016270703593128,0.055163981279228565,8.732382623403135e-08
-35.949367088607595,0.07184896523056258,0.24663776564701803,6.183866645745548e-06,0.059874140239148395,0.06518683453048124,1.0553857516470218e-07
-35.12658227848101,0.08556834509233295,0.28392842010587144,7.4737382716825355e-06,0.07130695758147883,0.07677736908563311,1.2755271119395799e-07
-34.30379746835443,0.1016477635926863,0.32497129422342635,9.032656728043006e-06,0.08470647404773528,0.0901031736949567,1.5415874245465834e-07
-33.48101265822785,0.1203984644498129,0.36969584020531016,1.0916739508308834e-05,0.10033205948231905,0.10532898404597688,1.8631448494135877e-07
-32.65822784810126,0.14214093436104064,0.4179330947416726,1.3193808376187494e-05,0.11845078623024632,0.12261110962601697,2.251775437363419e-07
-31.835443037974684,0.1671944993589485,0.4694137637822784,1.5945830191075387e-05,0.13932875943409462,0.14209129796564626,2.7214698653399454e-07
-31.0126582278481,0.19586414495331336,0.5237721558772941,1.9271866607738955e-05,0.16322013381699682,0.16389031015631833,3.289137097218531e-07
-30.189873417721518,0.2284248779450001,0.5805559761448762,2.3291638678603796e-05,0.19035408185612937,0.18810153009970865,3.9752131014280273e-07
-29.367088607594937,0.26510431892718805,0.6392413908384353,2.8149834449409128e-05,0.2209202875258804,0.21478495144527038,4.804396538121069e-07
