Pt,Total_Rate_wRIS,Total_Rate_woRIS,Spectral_Efficiency_wRIS,Spectral_Efficiency_woRIS,Energy_Efficiency_wRIS,Energy_Efficiency_woRIS
-25.253164556962023,1.4532726824465556,0.8117822988201707,1.4532726824465556,0.8117822988201707,243575.48171090006,136058.6123084829
-24.430379746835442,1.5724492985452234,0.9033864024069943,1.5724492985452234,0.9033864024069943,218064.32935837746,125279.9375945621
-23.60759493670886,1.692751804643633,0.9992841179847983,1.692751804643633,0.9992841179847984,194232.89508799888,114661.7281512847
-22.784810126582276,1.8132444553543519,1.0987245854079188,1.8132444553543519,1.0987245854079188,172150.13797475473,104313.34198524532
-21.962025316455694,1.9329939889277317,1.200865464005815,1.9329939889277317,1.200865464005815,151845.8893274882,94333.7048066977
-21.139240506329113,2.0510934885878696,1.3048003142274012,2.0510934885878696,1.3048003142274012,133315.15160172214,84808.25114459361
-20.31645569620253,2.1666852775998255,1.409588638748572,2.1666852775998255,1.409588638748572,116522.93261947214,75806.76514127736
-19.493670886075947,2.278981614294193,1.5142865470719005,2.278981614294193,1.5142865470719005,101409.3302503927,67382.19544316069
-18.670886075949365,2.387282106230751,1.6179760971277348,2.387282106230751,1.6179760971277348,87894.6325238361,59570.427021684736
-17.848101265822784,2.490987036836644,1.7197916514539087,2.490987036836644,1.7197916514539087,75884.2416537178,52390.9130569808
-17.0253164556962,2.589606145298338,1.818942000764062,2.589606145298338,1.818942000764062,65273.26951674317,45848.01116060005
-16.202531645569618,2.682762766243149,1.914727481108489,2.682762766243149,1.914727481108489,55950.6890129281,39932.83460916298
-15.379746835443036,2.7701935702637233,2.0065517756548963,2.7701935702637233,2.0065517756548963,47802.9617029506,34625.42066238606
-14.556962025316455,2.8517444139022015,2.0939284984351123,2.8517444139022015,2.0939284984351123,40717.096977912064,29897.030505245042
-13.73417721518987,2.927362989806543,2.1764829759730313,2.927362989806543,2.1764829759730313,34583.130513900614,25712.42277826721
-12.911392405063289,2.9970890620307897,2.25394986333366,2.9970890620307897,2.25394986333366,29296.03822049667,22031.978355212384
-12.088607594936704,3.0610430877095878,2.32616735785408,3.0610430877095878,2.32616735785408,24757.124841483717,18813.591978435255
-11.265822784810126,3.119413981575275,2.3930688193338843,3.119413981575275,2.3930688193338843,20874.94294716658,16014.281966836354
-10.443037974683541,3.1724466933855857,2.4546725864525936,3.1724466933855857,2.4546725864525936,17565.80815051346,13591.499524909508
-9.620253164556956,3.220430158480158,2.51107071319781,3.220430158480158,2.51107071319781,14753.98052408134,11504.142792711893
-8.797468354430379,3.2636860631957214,2.562417252856337,3.2636860631957214,2.562417252856337,12371.581392719687,9713.297477754453
-7.974683544303794,3.302558750323874,2.608916605605889,3.302558750323874,2.608916605605889,10358.310158295695,8182.736302675502
-7.151898734177216,3.3374064817635762,2.6508123314152305,3.3374064817635762,2.6508123314152305,8661.018830519912,6879.214636878658
-6.329113924050631,3.3685941794944,2.6883767221346084,3.3685941794944,2.6883767221346084,7233.193621472077,5772.600771273875
-5.506329113924046,3.396487683569694,2.7219013312286244,3.396487683569694,2.7219013312286244,6034.384230909084,4835.877530400419
-4.6835443037974684,3.421449497681684,2.751688579401082,3.421449497681684,2.751688579401082,5029.612986438996,4045.0483407600364
-3.8607594936708836,3.4438359392309486,2.778044490025112,3.4438359392309486,2.778044490025112,4188.788259736156,3378.9763363235334
-3.0379746835442987,3.4639955714759605,2.8012725591499303,3.4639955714759605,2.8012725591499303,3486.139814137878,2819.180220413353
-2.215189873417721,3.4822687690234773,2.8216687293865226,3.4822687690234773,2.8216687293865226,2899.6880550790133,2349.6058612059746
-1.392405063291136,3.4989882520190507,2.839517412859285,3.4989882520190507,2.839517412859285,2410.7545493322914,1956.3882550930923
-0.5696202531645511,3.5144804147727897,2.8550884925803017,3.5144804147727897,2.8550884925803017,2003.5175780495695,1627.6146988121693
0.25316455696202667,3.529067266027761,2.868635220690581,3.529067266027761,2.868635220690581,1664.6137780507527,1353.0968249120474
1.0759493670886116,3.5430687854132996,2.880392923238381,3.5430687854132996,2.880392923238381,1382.7849734386923,1124.156569652533
1.8987341772151964,3.5568054797967323,2.8905784132316614,3.5568054797967323,2.8905784132316614,1148.5679702088837,933.4291120707679
2.721518987341774,3.570600892605362,2.899390007131732,3.570600892605362,2.899390007131732,954.0242517540763,774.68428012372
3.544303797468359,3.5847837802635127,2.907008036575859,3.5847837802635127,2.907008036575859,792.5060576196333,642.6667882228518
4.367088607594937,3.599689627725084,2.9135957489206077,3.599689627725084,2.9135957489206077,658.4551522118538,532.9548740988973
5.189873417721522,3.6156611381886155,2.919300498182079,3.6156611381886155,2.919300498182079,547.230612237261,441.8363717914825
